BASE_WORD	INPUT_WORD	RELATION_ID	CNT
knife	blade	787	37
knife	handle	788	36
aquarium	fish	81	33
alligator	teeth	912	32
book	cover	897	32
alligator	tail	1258	29
horse	tail	690	29
volcano	lava	325	29
eagle	wings	934	29
aquarium	water	918	29
library	books	283	28
eagle	beak	935	27
storm	rain	924	26
purse	zipper	887	26
shoe	sole	1321	26
pool	water	1019	25
honeybee	stinger	570	24
honeybee	wings	572	24
alligator	eyes	908	24
purse	handle	797	24
horse	legs	695	24
computer	keyboard	990	23
male	penis	1085	23
eagle	eyes	933	23
storm	wind	926	23
liquid	water	1458	23
purse	strap	799	23
mouth	teeth	386	22
computer	mouse	988	22
finger	nail	970	21
iphone	screen	1049	21
chicken	beak	1340	21
pumpkin	seeds	1104	21
alligator	mouth	910	21
eye	pupil	949	20
desk	legs	999	20
mouth	tongue	383	20
car	engine	975	20
chicken	wings	1466	20
dictionary	words	204	19
skateboard	wheels	1051	19
pumpkin	stem	1105	19
eye	iris	503	18
horse	mane	693	18
monkey	tail	2223	18
tree	leaves	51	18
alligator	scales	909	18
pizza	cheese	1144	18
storm	thunder	922	18
eagle	feathers	1311	18
party	food	904	18
male	legs	1086	18
mouth	lips	1133	18
shoe	laces	1324	17
hunter	gun	3017	17
finger	skin	973	17
school	classroom	14	17
violin	strings	649	16
needle	point	1056	16
monkey	eyes	1064	16
honeybee	eyes	566	16
city	buildings	1221	16
yard	grass	1092	16
table	legs	1115	16
chicken	feathers	947	16
bathroom	shower	1148	16
library	shelves	281	16
bathroom	sink	1149	16
park	grass	997	16
horse	eyes	1604	16
tree	trunk	54	16
solar	sun	541	15
robot	legs	687	15
textbook	cover	1009	15
purse	pocket	886	15
chicken	legs	946	15
pizza	sauce	1140	15
town	people	929	15
chicken	feet	944	15
bathroom	toilet	1145	15
aquarium	glass	1308	15
eagle	head	1310	15
female	legs	1373	15
monkey	nose	1067	15
refrigerator	door	86	15
school	gym	1273	15
park	trees	995	15
female	hair	1370	15
alligator	feet	1257	15
tree	branches	50	14
robot	head	684	14
refrigerator	freezer	88	14
library	librarian	285	14
knife	edge	789	14
needle	eye	2279	14
computer	screen	989	14
horse	hooves	688	14
party	drinks	907	14
horse	nose	938	14
skateboard	board	1052	14
computer	monitor	1516	14
face	eyes	3185	14
restaurant	kitchen	136	14
book	words	48	13
apple	seeds	3203	13
chicken	breast	1339	13
storm	lightning	1320	13
party	cake	1252	13
male	eyes	1079	13
female	vagina	1371	13
face	nose	3188	13
turtle	shell	74	13
game	rules	411	13
monkey	hands	1068	13
apple	skin	3201	13
book	binding	896	13
video	end	1207	13
town	streets	928	13
city	streets	762	13
pizza	crust	1142	13
greenhouse	plants	1186	13
gym	weights	1076	13
airplane	wings	1128	13
computer	cpu	1515	13
party	people	811	13
female	eyes	963	13
textbook	pages	1010	13
airplane	seats	1127	13
airport	runway	735	13
violin	bow	647	12
aquarium	rocks	1307	12
monkey	mouth	1066	12
chicken	eyes	1463	12
story	end	2851	12
robot	arms	686	12
male	head	3041	12
shoe	tongue	941	12
wheel	spokes	1330	12
game	board	1482	12
video	sound	790	12
pipe	bowl	807	12
book	pages	1217	12
flag	stars	1139	12
school	students	15	12
desk	top	2078	12
court	judge	536	12
restaurant	food	134	12
horse	mouth	692	12
male	hair	1078	12
book	page	796	12
book	chapter	1213	12
school	teachers	18	11
monkey	ears	2685	11
solar	earth	1174	11
apple	stem	3204	11
city	people	496	11
train	engine	1179	11
painting	paint	1106	11
meal	meat	1489	11
flag	pole	2943	11
video	beginning	1211	11
finger	knuckle	972	11
female	head	1366	11
honeybee	legs	571	11
knife	tip	861	11
tree	bark	55	11
dictionary	cover	1088	11
painting	frame	3400	11
document	words	1062	11
car	wheels	1502	11
face	mouth	3189	11
pond	water	615	11
neighborhood	houses	230	11
male	arms	1080	11
stew	meat	1103	11
monkey	legs	2504	11
airplane	cockpit	1126	11
party	music	1593	11
restaurant	tables	132	11
lake	water	306	10
story	beginning	1122	10
city	downtown	1266	10
meal	dessert	958	10
tree	roots	56	10
city	street	499	10
eagle	tail	1629	10
shoe	heel	943	10
quarter	head	1346	10
eagle	claws	1395	10
oven	door	1022	10
painting	canvas	1107	10
monkey	head	2501	10
book	spine	794	10
stew	carrots	2787	10
pipe	stem	809	10
microwave	door	1184	10
radio	antenna	1041	10
desk	wood	1523	10
sentence	words	2186	10
car	wheel	974	10
book	index	44	10
solar	planets	544	10
eye	cornea	505	10
mansion	rooms	1166	10
female	breasts	1369	10
car	door	2001	10
alligator	nose	911	10
purse	leather	899	10
eagle	talons	932	10
pizza	pepperoni	1143	10
sentence	noun	1032	10
sentence	verb	1035	10
quarter	tails	1639	10
turtle	eyes	75	9
textbook	words	1536	9
storm	hail	1625	9
school	cafeteria	1275	9
alligator	skin	1386	9
needle	thread	1055	9
refrigerator	shelves	1097	9
airplane	engine	1123	9
shoe	lace	1451	9
sentence	period	1570	9
meal	food	1985	9
restaurant	chairs	2879	9
airport	terminal	737	9
textbook	index	1530	9
greenhouse	glass	4281	9
face	ears	3517	9
turtle	tail	76	9
mouth	gums	382	9
moon	craters	1638	9
sentence	subject	1037	9
eagle	feet	1445	9
tank	water	4115	9
turtle	head	73	9
horse	head	1630	9
pipe	hole	805	9
alligator	head	1256	9
shoe	leather	939	9
desk	drawer	998	9
region	land	1548	9
radio	speaker	2918	9
turtle	legs	78	9
aquarium	tank	398	9
male	nose	1083	9
product	label	1566	9
monkey	feet	2503	9
hunter	hat	2228	9
table	wood	2334	9
pond	fish	617	9
book	paper	795	9
quarter	silver	1475	9
car	hood	2214	9
solar	moon	3321	9
solar	mars	4148	9
city	roads	500	9
poem	words	1193	9
wheel	tire	1331	9
game	dice	1355	9
game	players	415	9
male	face	1081	8
house	kitchen	3274	8
table	top	3954	8
volcano	rock	1645	8
city	houses	1265	8
video	audio	894	8
moon	crater	1345	8
alligator	legs	1387	8
document	text	1059	8
tank	gun	1100	8
stew	broth	1102	8
quarter	metal	1472	8
party	balloons	1592	8
monkey	teeth	3014	8
recipe	ingredients	3076	8
town	roads	1326	8
car	tire	2551	8
monkey	fur	2692	8
soldier	gun	3278	8
refrigerator	light	3077	8
elephant	trunk	146	8
volcano	mountain	322	8
storm	snow	1624	8
video	middle	1232	8
storm	clouds	920	8
game	cards	1360	8
wheel	spoke	2058	8
female	arms	2194	8
map	roads	2820	8
story	middle	2850	8
flag	stripes	3209	8
knight	sword	3261	8
painting	brush	4229	8
court	jury	537	8
town	houses	1441	8
wheel	rim	1456	8
president	head	2616	8
volcano	magma	2562	8
monkey	face	2224	8
apple	core	3518	8
document	paper	2988	8
school	teacher	1621	8
meal	drink	959	8
car	steering wheel	979	8
greenhouse	water	1187	8
robot	metal	1527	8
textbook	paper	2046	8
desert	sand	5254	8
eye	retina	1642	8
finger	joint	971	8
park	bench	2201	8
stew	beef	3666	8
tree	leaf	3108	8
honeybee	head	1288	8
meal	appetizer	960	7
